Buf2 read bytes 772632, nread = 772632, i = 0
Buf2 read bytes 12492144, nread = 11719512, i = 1
Buf2 read bytes 12882240, nread = 390096, i = 2
Buf2 read bytes 13264776, nread = 382536, i = 3
Buf2 read bytes 13654872, nread = 390096, i = 4
Buf2 read bytes 14037408, nread = 382536, i = 5
Buf2 read bytes 14427504, nread = 390096, i = 6
Buf2 read bytes 14810040, nread = 382536, i = 7
Buf2 read bytes 15200136, nread = 390096, i = 8
Buf2 read bytes 15582672, nread = 382536, i = 9
Buf2 read bytes 15972768, nread = 390096, i = 10
Buf2 read bytes 16355304, nread = 382536, i = 11
Buf2 read bytes 18673200, nread = 2317896, i = 12
Buf2 read bytes 19063296, nread = 390096, i = 13
Buf2 read bytes 19445832, nread = 382536, i = 14
Buf2 read bytes 19835928, nread = 390096, i = 15
Buf2 read bytes 20218464, nread = 382536, i = 16
Buf2 read bytes 20608560, nread = 390096, i = 17
Buf2 read bytes 20991096, nread = 382536, i = 18
Buf2 read bytes 21381192, nread = 390096, i = 19
Buf2 read bytes 21763728, nread = 382536, i = 20
Buf2 read bytes 22153824, nread = 390096, i = 21
Buf2 read bytes 22536360, nread = 382536, i = 22
Buf2 read bytes 22926456, nread = 390096, i = 23
Buf2 read bytes 23308992, nread = 382536, i = 24
Buf2 read bytes 23699088, nread = 390096, i = 25
Buf2 read bytes 24081624, nread = 382536, i = 26
Buf2 read bytes 24471720, nread = 390096, i = 27
Buf2 read bytes 24854256, nread = 382536, i = 28
Buf2 read bytes 25244352, nread = 390096, i = 29
Buf2 read bytes 25626888, nread = 382536, i = 30
Buf2 read bytes 26016984, nread = 390096, i = 31
Buf2 read bytes 26399520, nread = 382536, i = 32
Buf2 read bytes 26789616, nread = 390096, i = 33
Buf2 read bytes 27172152, nread = 382536, i = 34
Buf2 read bytes 27562248, nread = 390096, i = 35
Buf2 read bytes 27944784, nread = 382536, i = 36
Buf2 read bytes 28334880, nread = 390096, i = 37
Buf2 read bytes 28717416, nread = 382536, i = 38
Buf2 read bytes 29107512, nread = 390096, i = 39
Buf2 read bytes 29490048, nread = 382536, i = 40
Buf2 read bytes 29880144, nread = 390096, i = 41
Buf2 read bytes 30262680, nread = 382536, i = 42
Buf2 read bytes 30652776, nread = 390096, i = 43
Buf2 read bytes 31035312, nread = 382536, i = 44
Buf2 read bytes 31807944, nread = 772632, i = 45
Buf2 read bytes 32198040, nread = 390096, i = 46
Buf2 read bytes 32580576, nread = 382536, i = 47
Buf2 read bytes 32970672, nread = 390096, i = 48
Buf2 read bytes 33353208, nread = 382536, i = 49
Buf2 read bytes 33743304, nread = 390096, i = 50
Buf2 read bytes 34125840, nread = 382536, i = 51
Buf2 read bytes 34515936, nread = 390096, i = 52
Buf2 read bytes 34898472, nread = 382536, i = 53
Buf2 read bytes 35288568, nread = 390096, i = 54
Buf2 read bytes 35671104, nread = 382536, i = 55
Buf2 read bytes 36061200, nread = 390096, i = 56
Buf2 read bytes 36443736, nread = 382536, i = 57
Buf2 read bytes 36833832, nread = 390096, i = 58
Buf2 read bytes 37216368, nread = 382536, i = 59
Buf2 read bytes 37606464, nread = 390096, i = 60
Buf2 read bytes 37989000, nread = 382536, i = 61
Buf2 read bytes 38379096, nread = 390096, i = 62
Buf2 read bytes 38761632, nread = 382536, i = 63
Buf2 read bytes 39151728, nread = 390096, i = 64
Buf2 read bytes 39534264, nread = 382536, i = 65
Buf2 read bytes 39924360, nread = 390096, i = 66
Buf2 read bytes 40306896, nread = 382536, i = 67
Buf2 read bytes 40696992, nread = 390096, i = 68
Buf2 read bytes 41079528, nread = 382536, i = 69
Buf2 read bytes 41469624, nread = 390096, i = 70
Buf2 read bytes 41852160, nread = 382536, i = 71
Buf2 read bytes 42624792, nread = 772632, i = 72
Buf2 read bytes 43397424, nread = 772632, i = 73
Buf2 read bytes 43462440, nread = 65016, i = 74
Buf2 read bytes 43527456, nread = 65016, i = 75
Buf2 read bytes 43592472, nread = 65016, i = 76
Buf2 read bytes 43722504, nread = 130032, i = 77
Buf2 read bytes 43917552, nread = 195048, i = 78
Buf2 read bytes 44307648, nread = 390096, i = 79
Buf2 read bytes 44690184, nread = 382536, i = 80
Buf2 read bytes 45080280, nread = 390096, i = 81
Buf2 read bytes 45462816, nread = 382536, i = 82
Buf2 read bytes 45852912, nread = 390096, i = 83
Buf2 read bytes 46235448, nread = 382536, i = 84
Buf2 read bytes 46625544, nread = 390096, i = 85
Buf2 read bytes 47008080, nread = 382536, i = 86
Buf2 read bytes 47398176, nread = 390096, i = 87
Buf2 read bytes 47780712, nread = 382536, i = 88
Buf2 read bytes 48170808, nread = 390096, i = 89
Buf2 read bytes 48553344, nread = 382536, i = 90
Buf2 read bytes 48943440, nread = 390096, i = 91
Buf2 read bytes 49325976, nread = 382536, i = 92
Buf2 read bytes 49716072, nread = 390096, i = 93
Buf2 read bytes 50098608, nread = 382536, i = 94
Buf2 read bytes 50488704, nread = 390096, i = 95
Buf2 read bytes 50871240, nread = 382536, i = 96
Buf2 read bytes 51261336, nread = 390096, i = 97
Buf2 read bytes 51643872, nread = 382536, i = 98
Buf2 read bytes 52033968, nread = 390096, i = 99
Buf2 read bytes 52416504, nread = 382536, i = 100
Buf2 read bytes 52806600, nread = 390096, i = 101
Buf2 read bytes 53189136, nread = 382536, i = 102
Buf2 read bytes 53579232, nread = 390096, i = 103
Buf2 read bytes 53961768, nread = 382536, i = 104
Buf2 read bytes 54351864, nread = 390096, i = 105
Buf2 read bytes 54734400, nread = 382536, i = 106
Buf2 read bytes 55124496, nread = 390096, i = 107
Buf2 read bytes 55507032, nread = 382536, i = 108
Buf2 read bytes 55897128, nread = 390096, i = 109
Buf2 read bytes 56279664, nread = 382536, i = 110
Buf2 read bytes 56669760, nread = 390096, i = 111
Buf2 read bytes 57052296, nread = 382536, i = 112
Buf2 read bytes 57442392, nread = 390096, i = 113
Buf2 read bytes 57824928, nread = 382536, i = 114
Buf2 read bytes 58215024, nread = 390096, i = 115
Buf2 read bytes 58597560, nread = 382536, i = 116
Buf2 read bytes 58987656, nread = 390096, i = 117
Buf2 read bytes 59370192, nread = 382536, i = 118
Buf2 read bytes 59760288, nread = 390096, i = 119
Buf2 read bytes 60142824, nread = 382536, i = 120
Buf2 read bytes 60532920, nread = 390096, i = 121
Buf2 read bytes 60915456, nread = 382536, i = 122
Buf2 read bytes 61305552, nread = 390096, i = 123
Buf2 read bytes 61688088, nread = 382536, i = 124
Buf2 read bytes 62078184, nread = 390096, i = 125
Buf2 read bytes 62460720, nread = 382536, i = 126
Buf2 read bytes 62850816, nread = 390096, i = 127
Buf2 read bytes 63233352, nread = 382536, i = 128
Buf2 read bytes 63623448, nread = 390096, i = 129
Buf2 read bytes 64005984, nread = 382536, i = 130
Buf2 read bytes 64396080, nread = 390096, i = 131
Buf2 read bytes 64778616, nread = 382536, i = 132
Buf2 read bytes 65168712, nread = 390096, i = 133
Buf2 read bytes 65551248, nread = 382536, i = 134
Buf2 read bytes 65941344, nread = 390096, i = 135
Buf2 read bytes 66323880, nread = 382536, i = 136
Buf2 read bytes 66713976, nread = 390096, i = 137
Buf2 read bytes 67096512, nread = 382536, i = 138
Buf2 read bytes 67486608, nread = 390096, i = 139
Buf2 read bytes 67869144, nread = 382536, i = 140
Buf2 read bytes 68259240, nread = 390096, i = 141
Buf2 read bytes 68641776, nread = 382536, i = 142
Buf2 read bytes 69031872, nread = 390096, i = 143
Buf2 read bytes 69414408, nread = 382536, i = 144
